match_id,time_stamp,title,tour,round,surface,winner,player1_H2H,prediction_roi,player1_odds,player1_latest_win,player2_H2H,player2_odds,player2_latest_win,player1_name,player1_country,player1_height,player1_weight,player1_age,player1_current_rank,player1_highest_rank,player1_year_total_win,player1_year_total_lose,player1_year_surface_win,player1_year_surface_lose,player1_career_total_win,player1_career_total_lose,player1_career_surface_win,player1_career_surface_lose,player1_roi,player1_elo,player2_name,player2_country,player2_height,player2_weight,player2_age,player2_current_rank,player2_highest_rank,player2_year_total_win,player2_year_total_lose,player2_year_surface_win,player2_year_surface_lose,player2_career_total_win,player2_career_total_lose,player2_career_surface_win,player2_career_surface_lose,player2_roi,player2_elo,predict,strong_predict
2243159,2022-11-18-19-10,Bratislava 6 ITF,wta,quarterfinal,indoors,1,0,-1,1.29,7,0,3.4,6,Nigina Abduraimova,Uzbekistan,-,-,28,192,144,43,27,11,6,333,229,54,42,9.82,1344,Kiara Toth Amarissa,Hungary,-,-,19,630,609,24,13,5,2,49,31,5,2,9.87,-,2,False
2243111,2022-11-18-19-30,Nules ITF,wta,quarterfinal,clay,1,0,1.33,2.33,5,0,1.56,5,Irene Lavino,Italy,-,-,24,929,821,22,23,22,23,87,86,77,74,0.19,-,Ines Murta,Portugal,-,-,25,812,546,18,16,11,8,176,179,76,63,-1.45,-,1,False
2243069,2022-11-18-20-00,Funchal ITF,wta,quarterfinal,hard,1,0,0.12,1.12,3,0,5.68,7,Emina Bektas,USA,-,-,29,357,188,19,21,12,7,175,141,135,88,-2.86,1358,Judith Visscher Stephanie,Netherlands,-,-,22,701,642,33,28,9,6,137,117,55,44,-6.63,-,1,False
2243097,2022-11-18-20-40,Helsinki challenger,atp,quarterfinal,indoors,2,0,0.85,1.99,6,0,1.85,7,Adrian Andreev,Bulgaria,180,66,21,220,211,48,29,13,6,151,91,14,17,6.64,1564,Jelle Sels,Netherlands,188,83,27,133,130,52,35,20,13,313,253,79,67,9.44,1537,2,False
2243115,2022-11-18-21-00,St. Etienne ITF,wta,quarterfinal,indoors,1,3,-1,1.5,4,0,2.48,6,Lesley Pattinama Kerkhove,Netherlands,172,55,31,222,135,33,33,8,8,497,361,130,104,-14.37,1463,Eden Silva,Great Britain,175,59,26,306,306,37,22,12,6,229,203,84,63,7.72,1196,2,False
2243129,2022-11-18-21-00,Funchal ITF,wta,quarterfinal,hard,2,0,-1,2.0,6,0,1.76,6,Eva Guerrero Alvarez,Spain,-,-,23,390,221,22,12,21,9,197,109,86,40,0.77,-,Alice Robbe,France,-,-,22,346,286,26,26,20,14,133,113,74,41,-6.77,1164,1,False
2243091,2022-11-18-21-40,Helsinki challenger,atp,quarterfinal,indoors,2,0,-1,2.02,5,0,1.82,6,Dimitar Kuzmanov,Bulgaria,193,77,29,206,158,38,26,3,4,525,264,15,30,1.76,1522,Leandro Riedi,Switzerland,-,-,20,277,252,45,19,18,6,75,44,39,18,4.84,1429,1,True
2243073,2022-11-18-22-00,Helsinki ITF,wta,semifinal,indoors,1,0,1.8,2.8,7,0,1.4,5,Taylor Ng,USA,-,-,27,421,411,40,25,6,2,96,58,12,5,0.17,-,Katarzyna Kawa,Poland,-,-,30,262,112,20,20,3,2,387,290,28,39,-0.7,1442,1,False
2243067,2022-11-18-22-00,Bratislava 6 ITF,wta,quarterfinal,indoors,1,0,-1,1.49,7,0,2.51,6,Ana Konjuh,Croatia,174,65,24,137,20,20,22,9,6,232,151,40,29,-5.63,1700,Nikola Bartunkova,Czech Republic,-,-,16,280,280,33,14,6,4,59,38,15,8,5.25,1505,2,False
2243057,2022-11-18-22-10,Helsinki challenger,atp,quarterfinal,indoors,1,0,0.71,1.71,6,0,2.18,4,Yannick Hanfmann,Germany,193,86,31,140,92,36,26,6,3,371,221,61,49,-0.53,1593,Mikhail Kukushkin,Kazakhstan,183,72,34,239,39,32,26,9,6,583,437,137,92,-1.16,1579,1,False
2243131,2022-11-18-22-30,Buenos Aires WTA,wta,quarterfinal,clay,2,0,0.68,2.25,7,1,1.68,8,Diana Shnaider,Russia,-,-,18,161,161,51,15,41,10,62,20,51,14,3.69,1535,Danka Kovinic,Montenegro,169,67,28,71,46,27,20,21,10,383,281,252,128,7.39,1685,2,False
