match_id,time_stamp,title,tour,round,surface,winner,player1_H2H,prediction_roi,player1_odds,player1_latest_win,player2_H2H,player2_odds,player2_latest_win,player1_name,player1_country,player1_height,player1_weight,player1_age,player1_current_rank,player1_highest_rank,player1_year_total_win,player1_year_total_lose,player1_year_surface_win,player1_year_surface_lose,player1_career_total_win,player1_career_total_lose,player1_career_surface_win,player1_career_surface_lose,player1_roi,player1_elo,player2_name,player2_country,player2_height,player2_weight,player2_age,player2_current_rank,player2_highest_rank,player2_year_total_win,player2_year_total_lose,player2_year_surface_win,player2_year_surface_lose,player2_career_total_win,player2_career_total_lose,player2_career_surface_win,player2_career_surface_lose,player2_roi,player2_elo,predict,strong_predict
2246665,2022-11-23-19-40,Valencie challenger,atp,round of 16,clay,2,0,-1,1.9,4,1,1.82,6,Nikolas Sanchez Izquierdo,Spain,185,77,23,263,238,36,30,29,26,227,149,214,133,-5.94,1437,Nikola Milojevic,Serbia,188,76,27,259,125,22,31,19,27,348,223,141,106,-9.04,1446,1,False
2244429,2022-11-23-21-20,Andria challenger,atp,1. round,indoors,1,0,1.36,2.36,7,0,1.61,7,Leandro Riedi,Switzerland,-,-,20,197,197,48,19,21,6,78,44,42,18,8.98,1412,Hugo Gaston,France,173,68,22,111,58,28,30,16,10,175,129,50,49,-1.44,1687,1,True
2246839,2022-11-24-00-05,Montevideo WTA,wta,1. round,clay,2,0,0.85,1.97,5,0,1.85,4,Timea Babos,Hungary,179,68,29,318,25,23,24,8,13,398,310,90,82,-13.43,1440,Emiliana Arango,Colombia,-,-,21,384,220,11,19,4,11,143,101,86,55,-7.82,1323,2,False
2246293,2022-11-24-00-40,Valencia 2 ITF,wta,1. round,clay,2,0,0.07,7.82,4,0,1.07,8,Lucie Nguyen Tan,France,-,-,19,377,366,27,31,24,20,64,67,46,40,-8.57,1293,Arantxa Rus,Netherlands,180,65,31,117,61,45,31,28,14,637,388,371,174,-16.53,1605,2,False
