match_id,time_stamp,title,tour,round,surface,winner,player1_H2H,prediction_roi,player1_odds,player1_latest_win,player2_H2H,player2_odds,player2_latest_win,player1_name,player1_country,player1_height,player1_weight,player1_age,player1_current_rank,player1_highest_rank,player1_year_total_win,player1_year_total_lose,player1_year_surface_win,player1_year_surface_lose,player1_career_total_win,player1_career_total_lose,player1_career_surface_win,player1_career_surface_lose,player1_roi,player1_elo,player2_name,player2_country,player2_height,player2_weight,player2_age,player2_current_rank,player2_highest_rank,player2_year_total_win,player2_year_total_lose,player2_year_surface_win,player2_year_surface_lose,player2_career_total_win,player2_career_total_lose,player2_career_surface_win,player2_career_surface_lose,player2_roi,player2_elo,predict,strong_predict
2261999,2023-01-05-19-55,Monastir 17 ITF,wta,round of 16,hard,1,0,2.29,3.29,4,0,1.3,7,Andreea Prisacariu,Romania,-,-,22,400,304,1,0,1,0,169,115,20,18,1.17,1229,Noma Noha Akugue,Germany,-,-,19,234,234,1,0,1,0,74,35,6,6,1.01,1386,1,False
2261631,2023-01-05-20-10,Oeiras 5 challenger,atp,round of 16,indoors,1,0,1.45,2.45,5,1,1.56,3,Edan Leshem,Israel,183,70,25,379,249,2,1,2,1,317,211,29,38,3.11,1382,Jay Clarke,Great Britain,188,82,24,240,153,1,0,1,0,213,176,27,32,2.01,1391,1,False
2261953,2023-01-05-22-00,Pune,atp,quarterfinal,hard,2,0,-1,2.89,6,1,1.47,6,Maximilian Marterer,Germany,191,84,27,159,45,4,0,4,0,368,240,72,44,4.22,1606,Van De Zandschulp,Netherlands,188,83,27,35,22,1,0,1,0,325,168,43,23,1.27,1823,1,False
2261585,2023-01-05-22-00,Oeiras 5 challenger,atp,round of 16,indoors,2,0,-1,3.57,5,1,1.3,7,Goncalo Oliveira,Portugal,185,79,27,507,194,1,0,1,0,415,389,27,42,1.95,1314,Joris De Loore,Belgium,191,86,29,341,174,3,0,3,0,396,192,68,42,1.89,1392,1,False
2262089,2023-01-06-00-25,Tigre challenger,atp,round of 16,clay,1,0,1.39,2.39,2,0,1.59,7,Gonzalo Villanueva,Argentina,175,70,27,311,268,1,0,1,0,342,251,329,228,2.37,1226,Remy Bertola,Switzerland,-,-,24,356,342,1,0,1,0,224,133,145,79,1.72,1429,1,False
