match_id,time_stamp,title,tour,round,surface,winner,player1_H2H,prediction_roi,player1_odds,player1_latest_win,player2_H2H,player2_odds,player2_latest_win,player1_name,player1_country,player1_height,player1_weight,player1_age,player1_current_rank,player1_highest_rank,player1_year_total_win,player1_year_total_lose,player1_year_surface_win,player1_year_surface_lose,player1_career_total_win,player1_career_total_lose,player1_career_surface_win,player1_career_surface_lose,player1_roi,player1_elo,player2_name,player2_country,player2_height,player2_weight,player2_age,player2_current_rank,player2_highest_rank,player2_year_total_win,player2_year_total_lose,player2_year_surface_win,player2_year_surface_lose,player2_career_total_win,player2_career_total_lose,player2_career_surface_win,player2_career_surface_lose,player2_roi,player2_elo,predict,strong_predict
2247875,2022-11-26-18-30,Heraklion 11 ITF,wta,semifinal,clay,2,0,-1,2.29,8,2,1.58,8,Bianca Bulgaru Miriam,Romania,-,-,24,285,281,50,29,43,24,245,155,209,120,3.08,-,Lina Gjorcheska,Macedonia,-,-,28,295,170,39,21,27,14,400,211,303,145,3.05,1406,1,False
2247915,2022-11-26-19-00,Lousada ITF,wta,semifinal,indoors,1,1,-1,1.92,5,0,1.83,7,Celia Cervino Ruiz,Spain,-,-,24,695,504,18,21,7,6,128,84,30,14,-11.47,-,Clara Vlasselaer,Belgium,-,-,21,627,618,27,17,9,4,95,83,16,9,0.98,-,2,False
2247941,2022-11-26-19-15,Valencie challenger,atp,semifinal,clay,2,0,0.88,1.95,7,0,1.88,6,Nikola Milojevic,Serbia,188,76,27,259,125,24,31,21,27,350,223,143,106,-7.07,1446,Oleksii Krutykh,Ukraine,-,-,22,252,226,47,27,42,20,171,105,122,68,3.14,1459,2,False
2248069,2022-11-26-19-50,Antalya 33 ITF,wta,semifinal,clay,1,0,0.5,1.5,7,0,2.41,6,Emma Lene,France,-,-,23,774,729,23,12,17,8,119,111,78,73,2.46,-,Diana Demidova,Russia,-,-,25,708,693,25,17,25,17,146,109,121,88,-4.83,-,1,False
2248045,2022-11-26-20-00,UK Pro Series,atp,-,indoors,1,0,0.22,1.22,6,0,3.55,6,Kyle Edmund,Great Britain,188,83,27,583,14,8,5,4,1,329,194,39,15,0.58,-,Charles Broom,Great Britain,178,82,24,352,352,50,32,16,9,168,83,49,26,-1.97,1232,1,False
2248053,2022-11-26-20-00,UK Pro Series,wta,-,indoors,2,1,3.3,1.15,6,0,4.3,4,Gabriela Vasilescu Arina,Romania,-,-,25,557,556,52,37,20,13,220,170,26,22,-7.66,-,Danielle Daley,Great Britain,-,-,22,1059,1059,34,36,21,21,72,110,44,76,-5.27,-,2,False
2247933,2022-11-26-20-30,Lousada ITF,wta,semifinal,indoors,2,0,0.29,3.37,8,0,1.29,7,Julita Saner,Sweden,-,-,23,916,863,21,20,10,3,109,109,25,13,-4.84,-,Kajsa Rinaldo Persson,Sweden,-,-,25,480,479,39,18,7,3,172,118,19,13,3.46,-,2,False
2247903,2022-11-26-21-00,Petange 2 ITF,wta,semifinal,indoors,2,0,-1,2.98,7,0,1.36,7,Magali Kempen,Belgium,-,-,24,241,239,41,22,17,7,239,132,30,16,7.22,1393,Daria Snigur,Ukraine,-,-,20,107,105,37,24,16,8,129,63,31,17,-3.48,1537,1,False
2247939,2022-11-26-21-45,Valencia 2 ITF,wta,semifinal,clay,2,0,-1,2.25,6,0,1.6,8,Alycia Parks,USA,-,-,21,150,117,26,29,7,8,205,169,119,83,8.68,1443,Ylena In-Albon,Switzerland,-,-,23,141,110,52,33,46,22,274,160,209,108,-3.42,-,1,False
2248019,2022-11-26-23-00,Santo Domingo 3 ITF,wta,semifinal,hard,1,1,-1,1.32,8,0,3.17,6,Victoria Hu,USA,-,-,20,843,835,23,15,17,11,57,49,25,22,-5.53,-,Lauren Proctor,USA,-,-,25,707,707,29,30,25,23,104,96,89,69,-4.52,-,2,False
2247921,2022-11-27-00-30,Valencie challenger,atp,semifinal,clay,2,0,0.32,3.49,7,0,1.32,8,Pablo Llamas Ruiz,Spain,-,-,20,511,464,35,22,33,18,85,60,79,49,1.61,-,Luca Van Assche,France,-,-,18,200,197,49,30,34,19,82,57,48,28,5.16,1576,2,False
2247819,2022-11-27-00-40,Davis Cup,atp,-,hard,2,2,-1,4.73,5,2,1.22,7,Lorenzo Musetti,Italy,185,75,20,23,23,44,29,11,10,161,108,27,24,7.79,1842,Felix Auger Aliassime,Canada,193,88,22,6,6,59,28,14,9,284,164,89,62,5.41,2024,1,True
2247907,2022-11-27-02-00,Andria challenger,atp,semifinal,indoors,2,1,-1,2.95,6,0,1.42,10,Vitaliy Sachko,Ukraine,183,68,25,323,220,29,31,10,10,267,185,52,34,-9.03,1466,Leandro Riedi,Switzerland,-,-,20,197,197,51,19,24,6,81,44,45,18,10.89,1412,1,True
2248013,2022-11-27-01-50,Temuco challenger,atp,semifinal,hard,1,0,0.52,1.52,7,0,2.58,5,Nicolas Kicker,Argentina,178,75,30,201,78,27,27,5,5,411,267,29,24,-5.41,1494,Nicolas Mejia,Colombia,185,77,22,300,239,31,34,13,11,177,151,62,44,-8.24,1320,1,False
2247967,2022-11-27-03-10,Valencia 2 ITF,wta,semifinal,clay,2,0,1.92,1.37,7,0,2.92,7,Tamara Korpatsch,Germany,170,56,27,82,82,47,25,33,9,353,230,263,125,8.07,1633,Marina Bassols Ribera,Spain,-,-,22,162,159,42,24,13,8,244,154,134,77,10.95,1449,2,False
2248007,2022-11-27-03-30,Andria challenger,atp,semifinal,indoors,2,0,1.65,1.5,9,4,2.65,7,Marton Fucsovics,Hungary,188,82,30,98,31,30,25,13,5,452,328,130,92,-6.21,1750,Mikhail Kukushkin,Kazakhstan,183,72,34,223,39,35,27,12,7,586,438,140,93,-0.37,1579,2,False
