match_id,time_stamp,title,tour,round,surface,winner,predict,prediction_roi,player1_name,player1_country,player1_height,player1_weight,player1_age,player1_current_rank,player1_highest_rank,player1_year_total_win,player1_year_total_lose,player1_year_surface_win,player1_year_surface_lose,player1_career_total_win,player1_career_total_lose,player1_career_surface_win,player1_career_surface_lose,player1_roi,player1_H2H,player1_elo,player1_odds,player1_latest_win,player2_name,player2_country,player2_height,player2_weight,player2_age,player2_current_rank,player2_highest_rank,player2_year_total_win,player2_year_total_lose,player2_year_surface_win,player2_year_surface_lose,player2_career_total_win,player2_career_total_lose,player2_career_surface_win,player2_career_surface_lose,player2_roi,player2_H2H,player2_elo,player2_odds,player2_latest_win,strong_predict
2168509,2022-08-16-01-10,Cincinnati,atp,1. round,hard,1,2,-1,Aslan Karatsev,Russia,185,85,28,38,14,14,21,7,7,413,269,150,77,-9.7,1,1738,2.94,4,Brandon Nakashima,USA,185,77,21,66,49,25,20,9,10,151,87,83,48,-6.2,0,1808,1.46,6
2168529,2022-08-16-01-10,Cincinnati,atp,1. round,hard,1,2,-1,Roberto Bautista-Agut,Spain,183,75,34,19,9,29,12,15,6,735,434,292,140,3.29,0,-,1.38,6,Francisco Cerundolo,Argentina,185,78,24,27,24,33,21,7,6,241,105,18,11,19.32,0,1763,3.36,8
2168511,2022-08-16-01-10,Cincinnati,atp,1. round,hard,2,1,-1,Alex Molcan,Slovakia,178,73,24,39,38,27,20,7,6,238,139,56,30,3.3,0,1783,2.33,6,Diego Schwartzman,Argentina,170,64,29,16,8,28,18,5,5,604,348,92,81,-5.3,1,1862,1.68,4
2170579,2022-08-16-01-10,Cincinnati WTA,wta,1. round,hard,1,1,0.09,Elena Rybakina,Kazakhstan,184,73,23,25,12,29,14,11,7,232,112,89,50,-1.04,0,1937,1.09,8,Mayar Sherif,Egypt,-,-,26,58,44,17,12,1,9,213,98,67,51,-2.18,0,1674,9.12,7
2168387,2022-08-16-01-10,Cincinnati WTA,wta,1. round,hard,2,2,0.68,Barbora Krejcikova,Czech Republic,178,62,26,19,2,14,11,10,6,380,200,89,66,-4.12,1,1763,2.3,5,Veronika Kudermetova,Russia,175,63,25,20,18,28,15,16,8,299,199,147,94,16.91,0,1913,1.68,6
2168405,2022-08-16-02-30,Cincinnati WTA,wta,1. round,hard,1,2,-1,Amanda Anisimova,USA,180,59,20,23,21,32,13,13,7,146,79,85,49,6.25,2,1945,1.93,7,Darya Kasatkina,Russia,170,62,25,10,9,32,15,16,8,297,162,120,84,9.62,0,-,1.95,7
2168385,2022-08-16-02-45,Cincinnati WTA,wta,1. round,hard,2,2,0.85,Sara Sorribes Tormo,Spain,176,69,25,48,32,22,14,8,7,370,232,105,88,-1.08,0,1818,2.04,6,Alison Riske,USA,175,66,32,29,18,20,16,11,9,415,332,212,186,1.24,0,1793,1.85,4
2168521,2022-08-16-03-05,Cincinnati,atp,1. round,hard,1,2,-1,Emil Ruusuvuori,Finland,188,79,23,44,42,32,24,14,9,227,125,96,41,-4.98,0,1798,1.6,5,John Wolf Jeffrey,USA,183,79,23,83,83,31,20,20,11,125,78,68,44,0.56,0,-,2.51,5
2168517,2022-08-16-04-05,Cincinnati,atp,1. round,hard,2,2,0.67,Benjamin Bonzi,France,185,76,26,48,44,30,18,4,7,378,217,146,65,-2.7,0,1759,2.35,5,John Isner,USA,208,108,37,50,8,18,15,5,8,555,350,334,178,-2.41,1,1826,1.67,6
2168519,2022-08-16-04-10,Cincinnati,atp,1. round,hard,2,2,0.27,Holger Rune,Denmark,185,68,19,29,26,29,22,7,7,147,78,19,19,-2.31,0,1745,4.2,2,Cameron Norrie,Great Britain,188,82,26,11,10,37,18,18,9,314,178,198,86,-0.08,1,1957,1.27,7
2170605,2022-08-16-04-15,Cincinnati,atp,1. round,hard,2,2,0.52,Stan Wawrinka,Switzerland,182,79,37,306,3,3,9,0,1,676,386,252,135,-1.72,9,1731,2.72,3,Andy Murray,Great Britain,190,83,35,47,1,22,14,9,9,828,281,397,131,-1.66,13,1833,1.52,5
2170607,2022-08-16-04-45,Cincinnati,atp,1. round,hard,1,1,0.42,Marin Cilic,Croatia,198,89,33,17,3,23,14,11,8,687,370,258,146,2.19,1,1860,1.42,7,Jaume Munar,Spain,183,76,25,57,52,42,20,11,5,341,219,57,44,-0.39,0,1740,3.13,6
2168395,2022-08-16-04-50,Cincinnati WTA,wta,1. round,hard,1,2,-1,Caty McNally,USA,167,51,20,179,105,15,17,5,7,115,91,58,52,-5.93,0,-,3.31,5,Aliaksandra Sasnovich,Belarus,174,60,28,36,30,29,15,13,5,376,241,139,91,2.55,0,1809,1.38,5
