match_id,time_stamp,title,tour,round,surface,winner,player1_H2H,prediction_roi,player1_odds,player1_latest_win,player2_H2H,player2_odds,player2_latest_win,player1_name,player1_country,player1_height,player1_weight,player1_age,player1_current_rank,player1_highest_rank,player1_year_total_win,player1_year_total_lose,player1_year_surface_win,player1_year_surface_lose,player1_career_total_win,player1_career_total_lose,player1_career_surface_win,player1_career_surface_lose,player1_roi,player1_elo,player2_name,player2_country,player2_height,player2_weight,player2_age,player2_current_rank,player2_highest_rank,player2_year_total_win,player2_year_total_lose,player2_year_surface_win,player2_year_surface_lose,player2_career_total_win,player2_career_total_lose,player2_career_surface_win,player2_career_surface_lose,player2_roi,player2_elo,predict,strong_predict
2261561,2023-01-04-19-30,Monastir 17 ITF,wta,1. round,hard,1,0,0.63,1.63,6,0,2.2,2,Sebastianna Scilipoti,Switzerland,-,-,19,578,510,1,0,1,0,81,50,34,21,1.13,1240,Sara Cakarevic,France,-,-,25,555,304,19,23,0,2,244,185,43,25,0.0,1194,1,False
2261485,2023-01-04-20-05,Pune,atp,round of 16,hard,2,0,-1,3.84,6,0,1.31,5,Flavio Cobolli,Italy,-,-,20,171,133,3,0,3,0,110,88,18,11,1.81,1504,Van De Zandschulp,Netherlands,188,83,27,35,22,43,29,14,11,324,168,42,23,0.0,1823,1,False
2261483,2023-01-04-20-10,Oeiras 5 challenger,atp,round of 16,indoors,1,1,-1,1.5,7,1,2.63,4,Maximilian Neuchrist,Austria,-,-,31,274,244,1,0,1,0,485,292,81,60,1.68,1402,Joao Domingues,Portugal,178,70,29,287,150,1,0,1,0,383,278,1,4,2.56,1305,2,False
2260985,2023-01-04-21-40,Pune,atp,round of 16,hard,1,0,0.88,1.88,5,0,2.04,8,Filip Krajinovic,Serbia,185,75,30,54,26,1,0,1,0,484,293,111,89,1.25,1784,Michael Mmoh,USA,188,90,24,113,96,1,0,1,0,261,179,154,101,1.01,1615,1,False
2260711,2023-01-04-22-00,Tigre challenger,atp,1. round,clay,1,1,-1,1.8,7,0,2.03,4,Andrey Chepelev,Russia,-,-,24,369,339,79,42,67,37,349,225,330,210,0.0,1269,Pedro Boscardin Dias,Brazil,180,73,19,349,293,32,26,30,24,51,48,47,40,0.0,1315,2,True
2260977,2023-01-04-22-10,Pune,atp,round of 16,hard,1,0,-1,1.23,5,0,4.71,6,Marin Cilic,Croatia,198,89,34,17,3,32,21,16,10,696,377,263,148,0.0,1872,Roberto Carballes Baena,Spain,183,77,29,74,71,1,0,1,0,541,356,39,46,2.01,1695,2,False
