match_id,time_stamp,title,tour,round,surface,winner,player1_H2H,prediction_roi,player1_odds,player1_latest_win,player2_H2H,player2_odds,player2_latest_win,player1_name,player1_country,player1_height,player1_weight,player1_age,player1_current_rank,player1_highest_rank,player1_year_total_win,player1_year_total_lose,player1_year_surface_win,player1_year_surface_lose,player1_career_total_win,player1_career_total_lose,player1_career_surface_win,player1_career_surface_lose,player1_roi,player1_elo,player2_name,player2_country,player2_height,player2_weight,player2_age,player2_current_rank,player2_highest_rank,player2_year_total_win,player2_year_total_lose,player2_year_surface_win,player2_year_surface_lose,player2_career_total_win,player2_career_total_lose,player2_career_surface_win,player2_career_surface_lose,player2_roi,player2_elo,predict,strong_predict
2251431,2022-12-02-21-10,Maia challenger,atp,quarterfinal,clay,2,0,-1,1.36,8,2,3.26,7,Jan Choinski,Great Britain,196,80,26,268,234,49,21,38,14,354,240,198,128,9.58,1525,Maximilian Neuchrist,Austria,-,-,31,359,244,45,26,27,12,482,291,155,106,3.75,1338,1,False
2251441,2022-12-02-21-10,Andorra WTA,wta,quarterfinal,indoors,1,0,0.15,1.15,10,0,5.71,5,Ana Konjuh,Croatia,174,65,24,117,20,30,22,19,6,242,151,50,29,-2.46,1705,Weronika Falkowska,Poland,-,-,22,266,249,43,31,4,4,153,89,9,8,-2.02,1282,1,False
2251421,2022-12-02-21-55,Maia challenger,atp,quarterfinal,clay,1,2,-1,1.25,7,0,4.11,3,Nuno Borges,Portugal,185,75,25,93,91,48,25,26,12,238,95,103,44,1.71,1626,Riccardo Bonadio,Italy,180,81,29,194,174,47,33,44,30,436,322,364,267,1.71,1467,2,False
2251401,2022-12-03-01-50,Andorra WTA,wta,quarterfinal,indoors,1,0,1.93,2.93,5,1,1.42,5,Cristina Bucsa,Spain,180,63,24,108,104,47,29,11,6,282,170,52,34,-0.6,1656,Alison Van Uytvanck,Belgium,173,63,28,55,37,23,16,4,2,381,256,135,53,-6.78,1748,1,True
2251223,2022-12-03-04-10,Andorra WTA,wta,quarterfinal,indoors,2,0,0.63,2.33,7,0,1.63,5,Sabine Lisicki,Germany,178,70,33,400,12,14,7,4,1,364,276,70,38,2.47,1569,Alycia Parks,USA,-,-,21,134,117,28,30,10,3,207,170,13,11,9.74,1493,2,False
